tokenizer,domain,trial,batch_size,docs,throughput_docs_per_s,throughput_tokens_per_s,avg_batch_latency_ms
hf,code,1,8,32,5168.376001916345,2322054.430610978,1.545099999930244
hf,code,2,8,32,5626.670419118904,2527957.5192397647,1.418924999597948
hf,code,3,8,32,5591.375307970216,2512100.0875839936,1.4285749966802541
hf,code,4,8,32,5969.48102809729,2681975.8981548357,1.337449997663498
hf,code,5,8,32,5107.415335056525,2294665.9460033644,1.563200003147358
hf,english,1,8,32,7853.3388920813795,1883328.833057266,1.0161499958485365
hf,english,2,8,32,7970.707627778516,1911475.3229866354,1.0004750001826324
hf,english,3,8,32,8003.8018040575025,1919411.7201355398,0.9957999973266851
hf,english,4,8,32,7701.379049375289,1846886.9632783113,1.0363000001234468
hf,english,5,8,32,8466.056377941612,2030266.1451351226,0.9425000025657937
hf,technical,1,8,32,6314.626258631836,1975096.694457689,1.264225003978936
hf,technical,2,8,32,6849.461661529635,2142383.180320316,1.1647000028460752
hf,technical,3,8,32,6984.459568869656,2184607.994525512,1.1425749980844557
hf,technical,4,8,32,6917.124211618568,2163546.75731532,1.1543000000528991
hf,technical,5,8,32,7374.631279636276,2306646.389933734,1.0823750017152634
hf,web,1,8,32,20686.53427398403,1187536.3581658958,0.3850499997497536
hf,web,2,8,32,23677.39543772748,1359230.481847043,0.3359000002092216
hf,web,3,8,32,24762.052095383453,1421496.5531006062,0.3208499983884394
hf,web,4,8,32,22881.658971532022,1313550.23533451,0.3481999992800411
hf,web,5,8,32,18833.500075722888,1081160.613721967,0.4225000011501834
sentencepiece,code,1,8,32,5842.401226569276,4734901.044057738,1.3667999955941923
sentencepiece,code,2,8,32,6055.3305791866305,4907466.976269565,1.318574995821109
sentencepiece,code,3,8,32,5896.8783472328,4779051.345535482,1.3537749982788227
sentencepiece,code,4,8,32,6152.781241760093,4986444.647618945,1.2977750011486933
sentencepiece,code,5,8,32,5576.370135096116,4519299.471361958,1.431849999789847
sentencepiece,english,1,8,32,6705.221686789625,2922009.8881962914,1.1901250072696712
sentencepiece,english,2,8,32,8694.707068836358,3788990.3148413445,0.917825000215089
sentencepiece,english,3,8,32,8490.090464845103,3699822.2353832806,0.940174995776033
sentencepiece,english,4,8,32,7860.476535553232,3425448.2902590567,1.0150750022148713
sentencepiece,english,5,8,32,8398.950110836515,3660104.977987975,0.9497999963059556
sentencepiece,technical,1,8,32,6665.000410600904,4954386.398967615,1.197624998894753
sentencepiece,technical,2,8,32,6640.519609493139,4936188.7484691655,1.202000003104331
sentencepiece,technical,3,8,32,6979.280258058364,5188004.359326072,1.1431749953771941
sentencepiece,technical,4,8,32,6780.666636000329,5040366.164704369,1.1771500030590687
