tokenizer,domain,trial,length_bucket,chars,latency_ms,tokens,bytes
tiktoken,code,1,4097+,434809,86.19859999453183,97476,434809
tiktoken,code,1,4097+,53641,10.334799997508526,12408,53641
tiktoken,code,1,4097+,46183,9.522299995296635,10390,46183
tiktoken,code,1,4097+,28444,6.695999996736646,6607,28444
tiktoken,code,1,4097+,90212,19.43470000696834,20612,90212
tiktoken,code,1,4097+,168977,33.50630000932142,37471,168979
tiktoken,code,1,4097+,6574,1.516399992397055,1508,6574
tiktoken,code,2,4097+,434809,88.46649999031797,97476,434809
tiktoken,code,2,4097+,53641,10.740600002463907,12408,53641
tiktoken,code,2,4097+,46183,9.352300010505132,10390,46183
tiktoken,code,2,4097+,28444,5.492199998116121,6607,28444
tiktoken,code,2,4097+,90212,17.132199995103292,20612,90212
tiktoken,code,2,4097+,168977,32.02199999941513,37471,168979
tiktoken,code,2,4097+,6574,1.405000002705492,1508,6574
tiktoken,code,3,4097+,434809,86.3177999999607,97476,434809
tiktoken,code,3,4097+,53641,10.386599999037571,12408,53641
tiktoken,code,3,4097+,46183,8.646999995107763,10390,46183
tiktoken,code,3,4097+,28444,5.328500003088266,6607,28444
tiktoken,code,3,4097+,90212,17.48669998778496,20612,90212
tiktoken,code,3,4097+,168977,30.732900006114505,37471,168979
tiktoken,code,3,4097+,6574,1.5349000022979453,1508,6574
tiktoken,code,4,4097+,434809,86.62000000185799,97476,434809
tiktoken,code,4,4097+,53641,10.559999995166436,12408,53641
tiktoken,code,4,4097+,46183,9.366099999169819,10390,46183
tiktoken,code,4,4097+,28444,5.797399993753061,6607,28444
tiktoken,code,4,4097+,90212,17.45640000444837,20612,90212
tiktoken,code,4,4097+,168977,31.212600006256253,37471,168979
tiktoken,code,4,4097+,6574,1.3832999975420535,1508,6574
tiktoken,code,5,4097+,434809,86.15100001043174,97476,434809
tiktoken,code,5,4097+,53641,10.587199998553842,12408,53641
tiktoken,code,5,4097+,46183,8.955400000559166,10390,46183
tiktoken,code,5,4097+,28444,5.463900000904687,6607,28444
tiktoken,code,5,4097+,90212,16.916600012336858,20612,90212
tiktoken,code,5,4097+,168977,30.614799994509667,37471,168979
tiktoken,code,5,4097+,6574,1.5091999957803637,1508,6574
tiktoken,english,1,257-1024,389,0.08849998994264752,88,389
tiktoken,english,1,1025-4096,1556,0.35140001273248345,373,1566
tiktoken,english,1,257-1024,371,0.09279999358113855,98,399
tiktoken,english,1,257-1024,828,0.16680000408086926,196,838
tiktoken,english,1,1025-4096,1220,0.2502000133972615,298,1232
tiktoken,english,1,1025-4096,1355,0.2632999967318028,310,1365
tiktoken,english,1,257-1024,777,0.16889999096747488,175,787
tiktoken,english,1,257-1024,543,0.1230000052601099,142,555
tiktoken,english,2,257-1024,389,0.09970000246539712,88,389
tiktoken,english,2,1025-4096,1556,0.32700000156182796,373,1566
tiktoken,english,2,257-1024,371,0.08480000542476773,98,399
tiktoken,english,2,257-1024,828,0.15329998859670013,196,838
tiktoken,english,2,1025-4096,1220,0.229199999012053,298,1232
tiktoken,english,2,1025-4096,1355,0.23809999402146786,310,1365
tiktoken,english,2,257-1024,777,0.13819999003317207,175,787
tiktoken,english,2,257-1024,543,0.11449999874457717,142,555
tiktoken,english,3,257-1024,389,0.0737000082153827,88,389
tiktoken,english,3,1025-4096,1556,0.2902999985963106,373,1566
tiktoken,english,3,257-1024,371,0.07909999112598598,98,399
tiktoken,english,3,257-1024,828,0.2528000040911138,196,838
tiktoken,english,3,1025-4096,1220,0.45959999260958284,298,1232
tiktoken,english,3,1025-4096,1355,0.37340000562835485,310,1365
tiktoken,english,3,257-1024,777,0.2673999988473952,175,787
tiktoken,english,3,257-1024,543,0.1697999978205189,142,555
tiktoken,english,4,257-1024,389,0.07679998816456646,88,389
tiktoken,english,4,1025-4096,1556,0.2918999962275848,373,1566
tiktoken,english,4,257-1024,371,0.07979999645613134,98,399
tiktoken,english,4,257-1024,828,0.15100000018719584,196,838
tiktoken,english,4,1025-4096,1220,0.23099999816622585,298,1232
tiktoken,english,4,1025-4096,1355,0.24139999004546553,310,1365
tiktoken,english,4,257-1024,777,0.13610000314656645,175,787
tiktoken,english,4,257-1024,543,0.10879999899771065,142,555
tiktoken,english,5,257-1024,389,0.07360000745393336,88,389
tiktoken,english,5,1025-4096,1556,0.2798000059556216,373,1566
tiktoken,english,5,257-1024,371,0.07770000956952572,98,399
tiktoken,english,5,257-1024,828,0.149500003317371,196,838
tiktoken,english,5,1025-4096,1220,0.2246999938506633,298,1232
tiktoken,english,5,1025-4096,1355,0.23160000273492187,310,1365
tiktoken,english,5,257-1024,777,0.1345000055152923,175,787
tiktoken,english,5,257-1024,543,0.10819999442901462,142,555
tiktoken,technical,1,1025-4096,1755,0.251900011789985,323,1755
tiktoken,technical,1,1025-4096,1939,0.31960000342223793,362,1939
tiktoken,technical,1,1025-4096,1353,0.22780000290367752,249,1353
tiktoken,technical,1,1025-4096,1455,0.2787000121315941,318,1455
tiktoken,technical,1,1025-4096,1647,0.2948000037577003,353,1647
tiktoken,technical,1,1025-4096,1411,0.24880000273697078,282,1414
tiktoken,technical,1,1025-4096,1337,0.23700000019744039,277,1337
tiktoken,technical,1,1025-4096,1734,0.27299999783281237,335,1734
tiktoken,technical,2,1025-4096,1755,0.26169999910052866,323,1755
tiktoken,technical,2,1025-4096,1939,0.28909998945891857,362,1939
tiktoken,technical,2,1025-4096,1353,0.19130000146105886,249,1353
tiktoken,technical,2,1025-4096,1455,0.23260001034941524,318,1455
tiktoken,technical,2,1025-4096,1647,0.2632000105222687,353,1647
tiktoken,technical,2,1025-4096,1411,0.22220000391826034,282,1414
tiktoken,technical,2,1025-4096,1337,0.20399999630171806,277,1337
tiktoken,technical,2,1025-4096,1734,0.25409999943803996,335,1734
tiktoken,technical,3,1025-4096,1755,0.2521999995224178,323,1755
tiktoken,technical,3,1025-4096,1939,0.2793000021483749,362,1939
tiktoken,technical,3,1025-4096,1353,0.19469999824650586,249,1353
tiktoken,technical,3,1025-4096,1455,0.23329998657573014,318,1455
tiktoken,technical,3,1025-4096,1647,0.261199995293282,353,1647
tiktoken,technical,3,1025-4096,1411,0.218400004087016,282,1414
tiktoken,technical,3,1025-4096,1337,0.2131000073859468,277,1337
tiktoken,technical,3,1025-4096,1734,0.2590999938547611,335,1734
tiktoken,technical,4,1025-4096,1755,0.2631999959703535,323,1755
tiktoken,technical,4,1025-4096,1939,0.31519999902229756,362,1939
tiktoken,technical,4,1025-4096,1353,0.2218999870819971,249,1353
tiktoken,technical,4,1025-4096,1455,0.23829999554436654,318,1455
tiktoken,technical,4,1025-4096,1647,0.2815000043483451,353,1647
tiktoken,technical,4,1025-4096,1411,0.2523000002838671,282,1414
tiktoken,technical,4,1025-4096,1337,0.22789998911321163,277,1337
tiktoken,technical,4,1025-4096,1734,0.26760000037029386,335,1734
tiktoken,technical,5,1025-4096,1755,0.298099999781698,323,1755
tiktoken,technical,5,1025-4096,1939,0.29769999673590064,362,1939
tiktoken,technical,5,1025-4096,1353,0.20989999757148325,249,1353
tiktoken,technical,5,1025-4096,1455,0.25179999647662044,318,1455
tiktoken,technical,5,1025-4096,1647,0.2750999992713332,353,1647
tiktoken,technical,5,1025-4096,1411,0.28679998649749905,282,1414
tiktoken,technical,5,1025-4096,1337,0.25329999334644526,277,1337
tiktoken,technical,5,1025-4096,1734,0.27969999064225703,335,1734
tiktoken,web,1,65-256,111,0.031400006264448166,26,113
tiktoken,web,1,65-256,100,0.034500000765547156,26,100
tiktoken,web,1,65-256,88,0.031400006264448166,21,88
tiktoken,web,1,65-256,169,0.04859999171458185,42,169
tiktoken,web,1,65-256,146,0.04539999645203352,42,146
tiktoken,web,1,65-256,112,0.032100011594593525,26,112
tiktoken,web,1,65-256,124,0.042100000428035855,37,124
tiktoken,web,1,65-256,109,0.030399998649954796,26,109
tiktoken,web,2,65-256,111,0.03170000854879618,26,113
tiktoken,web,2,65-256,100,0.026699999580159783,26,100
tiktoken,web,2,65-256,88,0.022099993657320738,21,88
tiktoken,web,2,65-256,169,0.03759999526664615,42,169
