tokenizer,domain,trial,peak_memory_bytes,avg_memory_bytes
tiktoken,english,1,2820,1960
tiktoken,english,2,3444,2640
tiktoken,english,3,3388,2576
tiktoken,english,4,3388,2568
tiktoken,english,5,3388,2560
tiktoken,code,1,4016,2528
tiktoken,code,2,4040,2544
tiktoken,code,3,4040,2528
tiktoken,code,4,4040,2520
tiktoken,code,5,4040,2512
tiktoken,web,1,3944,2480
tiktoken,web,2,3968,2496
tiktoken,web,3,3968,2488
tiktoken,web,4,3968,2480
tiktoken,web,5,3968,2472
tiktoken,technical,1,4016,2432
tiktoken,technical,2,4040,2448
tiktoken,technical,3,4040,2440
tiktoken,technical,4,4040,2432
tiktoken,technical,5,4040,2424
hf,english,1,7240,6488
hf,english,2,7240,6480
hf,english,3,7240,6472
hf,english,4,7240,6456
hf,english,5,7240,6448
hf,code,1,7908,6440
hf,code,2,7908,6432
hf,code,3,7908,6432
hf,code,4,7908,6432
hf,code,5,7908,6432
hf,web,1,7760,6432
hf,web,2,7760,6432
hf,web,3,7760,6432
hf,web,4,7760,6432
hf,web,5,7760,6432
hf,technical,1,7676,6432
hf,technical,2,7676,6432
hf,technical,3,7676,6432
hf,technical,4,7676,6432
hf,technical,5,7676,6432
sentencepiece,english,1,3672,3008
sentencepiece,english,2,3056,2392
sentencepiece,english,3,3056,2392
sentencepiece,english,4,3056,2392
sentencepiece,english,5,3056,2392
sentencepiece,code,1,3192,2392
sentencepiece,code,2,3192,2392
sentencepiece,code,3,3192,2392
sentencepiece,code,4,3192,2392
sentencepiece,code,5,3192,2392
sentencepiece,web,1,3000,2392
sentencepiece,web,2,3000,2392
sentencepiece,web,3,3000,2392
sentencepiece,web,4,3000,2392
sentencepiece,web,5,3000,2392
sentencepiece,technical,1,3544,2392
sentencepiece,technical,2,3544,2392
sentencepiece,technical,3,3544,2392
sentencepiece,technical,4,3544,2392
sentencepiece,technical,5,3544,2392
naive,english,1,5191,2536
naive,english,2,5223,2568
naive,english,3,5223,2568
naive,english,4,5223,2568
naive,english,5,5223,2568
naive,code,1,5234,2536
naive,code,2,5266,2568
naive,code,3,5266,2568
naive,code,4,5266,2568
naive,code,5,5266,2568
naive,web,1,5472,2536
naive,web,2,5504,2568
naive,web,3,5504,2568
naive,web,4,5504,2568
naive,web,5,5504,2568
naive,technical,1,5569,2536
naive,technical,2,5601,2568
naive,technical,3,5601,2568
naive,technical,4,5601,2568
naive,technical,5,5601,2568
cached,english,1,5079,2536
cached,english,2,5111,2568
cached,english,3,5111,2568
cached,english,4,5111,2568
cached,english,5,5111,2568
cached,code,1,5122,2536
cached,code,2,5154,2568
cached,code,3,5154,2568
cached,code,4,5154,2568
cached,code,5,5154,2568
cached,web,1,5392,2536
cached,web,2,5424,2568
cached,web,3,5424,2568
cached,web,4,5424,2568
cached,web,5,5424,2568
cached,technical,1,5497,2536
cached,technical,2,5529,2568
cached,technical,3,5529,2568
cached,technical,4,5529,2568
cached,technical,5,5529,2568
